run_id,use_hawkes,model_type,A,k,markout_horizon_steps,final_mtm_pnl,mean_mtm_pnl,std_mtm_pnl,fill_count_total,avg_bid_fill_prob,avg_ask_fill_prob,total_fees_paid,total_adverse_selection_cost,total_realized_spread_component,avg_bid_markout_per_fill,avg_ask_markout_per_fill,mean_latency_us,p99_latency_us,max_latency_us,latency_budget_exceeded_count,final_pnl,max_drawdown,inventory_mean_abs,inventory_std,latency_p99_empirical,fill_rate_bid_empirical,fill_rate_ask_empirical,avg_fee_per_step,avg_adverse_cost_per_step,avg_realized_spread_per_step,quote_pull_rate_bid,quote_pull_rate_ask,avg_markout_all_fills,median_markout_all_fills,p10_markout_all_fills,p90_markout_all_fills,avg_abs_pressure_diff,risk_adjusted_score
hawkes__A_0.12__k_4.0__h_5,True,hawkes,0.12,4.0,5,11592.469225,6983.397771,3008.84213,1871,0.040098,0.041631,181.280775,11488.25,11535.875,-0.245543,-0.24567,0.078582,0.104,6.962,0,11592.469225,235.83007499999985,352.6207264957265,225.17216340833235,0.104,0.03974358974358974,0.040213675213675214,0.007747041666666667,0.4909508547008547,0.4929861111111111,0.0,0.0,-0.24560662747194015,-0.245,-0.285,-0.205,0.5211634866239316,11450.006644764959
hawkes__A_0.12__k_4.0__h_3,True,hawkes,0.12,4.0,3,11592.469225,6983.397771,3008.84213,1871,0.040098,0.041631,181.280775,11539.25,11535.875,-0.246129,-0.247258,0.078315,0.103,7.343,0,11592.469225,235.83007499999985,352.6207264957265,225.17216340833235,0.103,0.03974358974358974,0.040213675213675214,0.007747041666666667,0.4931303418803419,0.4929861111111111,0.0,0.0,-0.2466969535008017,-0.245,-0.28,-0.215,0.5211634866239316,11449.897670405984
hawkes__A_0.12__k_4.0__h_1,True,hawkes,0.12,4.0,1,11592.469225,6983.397771,3008.84213,1871,0.040098,0.041631,181.280775,11561.625,11535.875,-0.245618,-0.248714,0.0789,0.104,12.519,0,11592.469225,235.83007499999985,352.6207264957265,225.17216340833235,0.104,0.03974358974358974,0.040213675213675214,0.007747041666666667,0.49408653846153844,0.4929861111111111,0.0,0.0,-0.24717530732228757,-0.245,-0.265,-0.23,0.5211634866239316,11449.849860576925
baseline__A_0.12__k_4.0__h_5,False,baseline,0.12,4.0,5,10723.179285,6607.139203,2728.995172,1750,0.037755,0.039066,169.570715,10964.25,10987.0,-0.251952,-0.249268,0.078566,0.104,7.152,0,10723.179285,343.90313,335.2019230769231,230.61752739737673,0.104,0.03743589743589744,0.03735042735042735,0.007246611752136751,0.4685576923076923,0.46952991452991455,0.024658119658119704,0.006025641025641071,-0.25061142857142854,-0.25,-0.295,-0.205,1.1949515937247863,10527.799835384616
baseline__A_0.12__k_4.0__h_3,False,baseline,0.12,4.0,3,10723.179285,6607.139203,2728.995172,1750,0.037755,0.039066,169.570715,10996.5,10987.0,-0.252192,-0.250503,0.078632,0.10901,7.023,0,10723.179285,343.90313,335.2019230769231,230.61752739737673,0.1090099999999984,0.03743589743589744,0.03735042735042735,0.007246611752136751,0.4699358974358974,0.46952991452991455,0.024658119658119704,0.006025641025641071,-0.2513485714285714,-0.25,-0.285,-0.215,1.1949515937247863,10527.730925128206
baseline__A_0.12__k_4.0__h_1,False,baseline,0.12,4.0,1,10723.179285,6607.139203,2728.995172,1750,0.037755,0.039066,169.570715,11004.875,10987.0,-0.251832,-0.251247,0.079514,0.104,7.25,0,10723.179285,343.90313,335.2019230769231,230.61752739737673,0.104,0.03743589743589744,0.03735042735042735,0.007246611752136751,0.4702938034188034,0.46952991452991455,0.024658119658119704,0.006025641025641071,-0.25154,-0.25,-0.27,-0.235,1.1949515937247863,10527.713029829061
hawkes__A_0.08__k_4.0__h_5,True,hawkes,0.08,4.0,5,8086.432305,5008.937409,2094.839,1283,0.027651,0.029122,124.317695,7868.25,7910.625,-0.245118,-0.245493,0.078091,0.103,6.985,0,8086.432305,308.7962750000006,339.9455128205128,219.2770367905474,0.103,0.027094017094017094,0.027735042735042736,0.005312722008547008,0.33625,0.33806089743589746,0.0,0.0,-0.24530787217459082,-0.245,-0.285,-0.205,0.5211634866239316,7915.2216675
hawkes__A_0.08__k_4.0__h_3,True,hawkes,0.08,4.0,3,8086.432305,5008.937409,2094.839,1283,0.027651,0.029122,124.317695,7905.625,7910.625,-0.245607,-0.247319,0.078311,0.102,7.446,0,8086.432305,308.7962750000006,339.9455128205128,219.2770367905474,0.102,0.027094017094017094,0.027735042735042736,0.005312722008547008,0.33784722222222224,0.33806089743589746,0.0,0.0,-0.246473109898675,-0.245,-0.28,-0.215,0.5211634866239316,7915.141806388889
hawkes__A_0.08__k_4.0__h_1,True,hawkes,0.08,4.0,1,8086.432305,5008.937409,2094.839,1283,0.027651,0.029122,124.317695,7926.25,7910.625,-0.245568,-0.248629,0.078456,0.102,7.135,0,8086.432305,308.7962750000006,339.9455128205128,219.2770367905474,0.102,0.027094017094017094,0.027735042735042736,0.005312722008547008,0.3387286324786325,0.33806089743589746,0.0,0.0,-0.24711613406079502,-0.245,-0.265,-0.23,0.5211634866239316,7915.097735876068
hawkes__A_0.12__k_6.0__h_5,True,hawkes,0.12,6.0,5,7757.580325,4706.481379,2081.861032,1875,0.040038,0.041608,181.669675,7692.375,7733.5,-0.164077,-0.16394,0.080486,0.113,6.787,0,7757.580325,288.14825500000006,344.8600427350427,224.67677999398487,0.113,0.03982905982905983,0.0402991452991453,0.007763661324786324,0.32873397435897433,0.330491452991453,0.0,0.0,-0.164008,-0.165,-0.205,-0.125,0.5211634866239316,7597.069498782052
hawkes__A_0.12__k_6.0__h_3,True,hawkes,0.12,6.0,3,7757.580325,4706.481379,2081.861032,1875,0.040038,0.041608,181.669675,7738.125,7733.5,-0.164651,-0.165504,0.080415,0.107,35.35,0,7757.580325,288.14825500000006,344.8600427350427,224.67677999398487,0.107,0.03982905982905983,0.0402991452991453,0.007763661324786324,0.33068910256410255,0.330491452991453,0.0,0.0,-0.16507999999999998,-0.165,-0.195,-0.135,0.5211634866239316,7596.971742371795
hawkes__A_0.12__k_6.0__h_1,True,hawkes,0.12,6.0,1,7757.580325,4706.481379,2081.861032,1875,0.040038,0.041608,181.669675,7758.5,7733.5,-0.164109,-0.166903,0.080319,0.109,7.183,0,7757.580325,288.14825500000006,344.8600427350427,224.67677999398487,0.109,0.03982905982905983,0.0402991452991453,0.007763661324786324,0.33155982905982906,0.330491452991453,0.0,0.0,-0.16551466666666667,-0.165,-0.18,-0.15,0.5211634866239316,7596.928206047009
baseline__A_0.12__k_6.0__h_5,False,baseline,0.12,6.0,5,7161.051225,4419.956031,1873.396213,1741,0.037368,0.039052,168.698775,7356.75,7375.125,-0.17008,-0.167814,0.079512,0.104,7.432,0,7161.051225,388.90322000000003,339.70940170940173,231.584374215978,0.104,0.037264957264957266,0.03713675213675214,0.007209349358974358,0.31439102564102567,0.31517628205128206,0.024658119658119704,0.006025641025641071,-0.1689488799540494,-0.17,-0.215,-0.125,1.1949515937247863,6950.880063717948
baseline__A_0.12__k_6.0__h_3,False,baseline,0.12,6.0,3,7161.051225,4419.956031,1873.396213,1741,0.037368,0.039052,168.698775,7380.625,7375.125,-0.170327,-0.168815,0.078906,0.103,6.764,0,7161.051225,388.90322000000003,339.70940170940173,231.584374215978,0.103,0.037264957264957266,0.03713675213675214,0.007209349358974358,0.3154113247863248,0.31517628205128206,0.024658119658119704,0.006025641025641071,-0.16957208500861576,-0.17,-0.205,-0.135,1.1949515937247863,6950.829048760684
baseline__A_0.12__k_6.0__h_1,False,baseline,0.12,6.0,1,7161.051225,4419.956031,1873.396213,1741,0.037368,0.039052,168.698775,7392.0,7375.125,-0.169925,-0.169741,0.078689,0.108,7.526,0,7161.051225,388.90322000000003,339.70940170940173,231.584374215978,0.108,0.037264957264957266,0.03713675213675214,0.007209349358974358,0.3158974358974359,0.31517628205128206,0.024658119658119704,0.006025641025641071,-0.16983342906375645,-0.17,-0.19,-0.155,1.1949515937247863,6950.804743205128
baseline__A_0.08__k_4.0__h_5,False,baseline,0.08,4.0,5,6969.909765,4377.884773,1837.096728,1180,0.026246,0.027171,114.340235,7348.625,7408.0,-0.25084,-0.247412,0.078509,0.102,7.425,0,6969.909765,327.79527499999995,356.37820512820514,171.71180724155062,0.102,0.024914529914529915,0.025512820512820514,0.0048863348290598295,0.3140438034188034,0.3165811965811966,0.024658119658119704,0.006025641025641071,-0.24910593220338986,-0.25,-0.295,-0.205,1.1949515937247863,6790.30993732906
baseline__A_0.08__k_4.0__h_3,False,baseline,0.08,4.0,3,6969.909765,4377.884773,1837.096728,1180,0.026246,0.027171,114.340235,7396.375,7408.0,-0.251741,-0.249732,0.077923,0.104,7.002,0,6969.909765,327.79527499999995,356.37820512820514,171.71180724155062,0.104,0.024914529914529915,0.025512820512820514,0.0048863348290598295,0.3160844017094017,0.3165811965811966,0.024658119658119704,0.006025641025641071,-0.25072457627118644,-0.25,-0.285,-0.215,1.1949515937247863,6790.20790741453
